101	0	89.99	twin	no	1	300
102	1	89.99	twin	no	1	300
103	2	89.99	twin	no	1	300
104	3	89.99	twin	yes	2	300
105	4	89.99	twin	yes	2	300
106	5	89.99	twin	yes	2	300
107	6	89.99	twin	yes	2	300
108	7	89.99	queen	no	1	300
109	8	89.99	queen	no	1	300
110	9	89.99	queen	no	1	300
111	10	89.99	queen	yes	2	300
112	11	89.99	queen	yes	2	300
113	12	89.99	queen	yes	2	300
114	13	89.99	queen	yes	2	300
115	14	89.99	king	no	1	300
116	15	89.99	king	no	1	300
117	16	89.99	king	no	1	300
118	17	89.99	king	yes	2	300
119	18	89.99	king	yes	2	300
120	19	89.99	king	yes	2	300
121	20	89.99	king	yes	2	300
201	21	119.99	twin	no	1	500
202	22	119.99	twin	no	1	500
203	23	119.99	twin	no	1	500
204	24	119.99	twin	yes	2	500
205	25	119.99	twin	yes	2	500
206	26	119.99	twin	yes	2	500
207	27	119.99	twin	yes	2	500
208	28	119.99	queen	no	1	500
209	29	119.99	queen	no	1	500
210	30	119.99	queen	no	1	500
211	31	119.99	queen	yes	2	500
212	32	119.99	queen	yes	2	500
213	33	119.99	queen	yes	2	500
214	34	119.99	queen	yes	2	500
215	35	119.99	king	no	1	500
216	36	119.99	king	no	1	500
217	37	119.99	king	no	1	500
218	38	119.99	king	yes	2	500
219	39	119.99	king	yes	2	500
220	40	119.99	king	yes	2	500
301	41	149.99	twin	yes	2	600
302	42	149.99	twin	no	1	600
303	43	149.99	twin	no	1	600
304	44	149.99	twin	no	1	600
305	45	149.99	twin	yes	2	600
306	46	149.99	twin	yes	2	600
307	47	149.99	twin	yes	2	600
308	48	149.99	queen	yes	2	600
309	49	149.99	queen	no	1	600
310	50	149.99	queen	no	1	600
311	51	149.99	queen	no	1	600
312	52	149.99	queen	yes	2	600
313	53	149.99	queen	yes	2	600
314	54	149.99	queen	yes	2	600
315	55	149.99	king	yes	2	600
316	56	149.99	king	no	1	600
317	57	149.99	king	no	1	600
318	58	149.99	king	no	1	600
319	59	149.99	king	yes	2	600
320	60	149.99	king	yes	2	600
